dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m4_daily/D/short,TurkForecast-FM-Chronos2-LoRA-v1,52934.149375174384,52934.146046977345,126.54592856270925,1.5319453498062423,0.04291946465947799,0.041385668840791506,18.57857735260502,230.07422579501247,0.058707337986310074,0.03229033857173919,0.02678026819651974,Econ/Fin,1
m4_hourly/H/short,TurkForecast-FM-Chronos2-LoRA-v1,1071562.0244018554,1071562.0283038793,495.6700006802877,0.648396571302382,0.03626246305803458,0.03581845852235953,27.439605994240438,1035.1628009167714,0.05639222135360247,0.027002450685393867,0.02188046318661455,Econ/Fin,1
m4_monthly/M/short,TurkForecast-FM-Chronos2-LoRA-v1,252152.29852593315,252152.30177655266,277.1957342529297,2.5904531963588107,0.060911911233431766,0.06023248033805026,30.383085073029015,502.1476859709035,0.0912456387082191,0.050369447865224466,0.04090151022970403,Econ/Fin,1
m4_quarterly/Q/short,TurkForecast-FM-Chronos2-LoRA-v1,42490.7230602762,42490.7226457889,120.70166679050611,1.1289480023112772,0.02879985687626607,0.028453482517405697,10.895224376946846,206.13278016918173,0.04510024817565028,0.026408585393349962,0.020857124240758123,Econ/Fin,1
m4_weekly/W/short,TurkForecast-FM-Chronos2-LoRA-v1,476739.9092487981,476739.8944750341,278.7677283653846,2.010269640900077,0.06580950316328268,0.06731602865916032,15.18739442546153,690.4635466473217,0.15336066807947746,0.06191783001648865,0.0498302867682196,Econ/Fin,1
m4_yearly/A/short,TurkForecast-FM-Chronos2-LoRA-v1,402817.0133825231,402817.03162775206,387.1530298303674,2.5353122073318635,0.11018430786552252,0.09266682465871175,18.750683636815566,634.6786693930426,0.10329740484401867,0.06301126095386357,0.04949737091847885,Econ/Fin,1
m_dense/D/short,TurkForecast-FM-Chronos2-LoRA-v1,21145.682769588893,21145.68282578949,64.18846896277533,0.8689651659452137,0.13044468098216588,0.14117724670304194,10.270297679149374,145.41555202105755,0.33903224541390625,0.14965359770459224,0.12378935022040413,Transport,1
m_dense/H/long,TurkForecast-FM-Chronos2-LoRA-v1,36285.14765432099,36285.14765432099,79.24003086419754,0.6824050396489317,0.2785773710583145,0.19208964783468363,7.31249086395161,190.48660754583506,0.32976047670281394,0.1371762072325005,0.1133079726778582,Transport,1
m_dense/H/medium,TurkForecast-FM-Chronos2-LoRA-v1,39619.293333333335,39619.293333333335,80.905859375,0.6970900925375951,0.2804773785363389,0.19406134711371528,8.459217312139414,199.04595784223636,0.34631481986063417,0.14076597394321705,0.11721631317369591,Transport,1
m_dense/H/short,TurkForecast-FM-Chronos2-LoRA-v1,42013.074359469945,42013.07345917552,74.47968956538372,0.5180690556036381,0.3281152389052543,0.19902189473311102,4.436988029722614,204.97091100805,0.32968145913843117,0.11979540226038404,0.0971235202025804,Transport,1
